product_category_name_english,total_orders,total_items_sold,total_revenue,avg_item_price,avg_review_score,late_delivery_items,late_delivery_rate,category_risk_level,created_at
agro_industry_and_commerce,182,212,78374.07,342.12,4.0,9,4.25,low,2026-07-05 18:51:58
air_conditioning,253,297,61774.19,185.27,3.97,11,3.7,low,2026-07-05 18:51:58
art,202,209,28247.81,115.8,3.94,15,7.18,low,2026-07-05 18:51:58
arts_and_craftmanship,23,24,2184.14,75.58,4.13,2,8.33,low,2026-07-05 18:51:58
audio,350,365,56462.94,139.01,3.83,46,12.6,low,2026-07-05 18:51:58
auto,3897,4256,687374.19,139.65,4.07,344,8.08,low,2026-07-05 18:51:58
baby,2885,3073,480647.26,134.11,4.01,262,8.53,low,2026-07-05 18:51:58
bed_bath_table,9417,11270,1258189.51,93.25,3.9,933,8.28,low,2026-07-05 18:51:58
books_general_interest,512,553,56052.4,84.73,4.45,35,6.33,low,2026-07-05 18:51:58
books_imported,53,60,5409.7,77.33,4.4,2,3.33,low,2026-07-05 18:51:58
books_technical,260,269,23456.53,71.19,4.37,29,10.78,low,2026-07-05 18:51:58
cds_dvds_musicals,12,14,954.99,52.14,4.64,0,0.0,low,2026-07-05 18:51:58
christmas_supplies,128,153,12030.12,57.52,4.02,18,11.76,low,2026-07-05 18:51:58
cine_photo,65,73,8212.95,95.2,4.21,5,6.85,low,2026-07-05 18:51:58
computers,181,203,232799.43,1098.34,4.18,13,6.4,low,2026-07-05 18:51:58
computers_accessories,6689,7894,1068070.48,116.5,3.93,597,7.56,low,2026-07-05 18:51:58
consoles_games,1062,1138,177844.54,138.84,4.02,85,7.47,low,2026-07-05 18:51:58
construction_tools_construction,748,931,166199.44,156.29,4.05,74,7.95,low,2026-07-05 18:51:58
construction_tools_lights,244,305,48918.38,135.44,4.05,30,9.84,low,2026-07-05 18:51:58
construction_tools_safety,167,194,44463.62,208.99,3.84,10,5.15,low,2026-07-05 18:51:58
cool_stuff,3632,3806,721492.9,167.44,4.15,252,6.62,low,2026-07-05 18:51:58
costruction_tools_garden,194,240,31105.47,107.37,4.05,17,7.08,low,2026-07-05 18:51:58
costruction_tools_tools,97,103,17934.17,154.41,4.44,6,5.83,low,2026-07-05 18:51:58
diapers_and_hygiene,27,39,2141.27,40.19,3.26,1,2.56,medium,2026-07-05 18:51:58
drinks,297,383,28294.07,58.76,4.05,20,5.22,low,2026-07-05 18:51:58
dvds_blu_ray,59,64,7288.13,93.74,4.08,4,6.25,low,2026-07-05 18:51:58
electronics,2550,2768,206989.23,57.94,4.04,266,9.61,low,2026-07-05 18:51:58
fashio_female_clothing,39,50,3535.84,57.79,3.78,3,6.0,low,2026-07-05 18:51:58
fashion_bags_accessories,1864,2050,185436.22,74.95,4.14,126,6.15,low,2026-07-05 18:51:58
fashion_childrens_clothes,8,8,665.36,71.23,4.5,0,0.0,low,2026-07-05 18:51:58
fashion_male_clothing,112,132,12950.23,81.8,3.64,7,5.3,low,2026-07-05 18:51:58
fashion_shoes,240,265,28733.87,89.69,4.23,16,6.04,low,2026-07-05 18:51:58
fashion_sport,27,31,2736.73,69.18,4.26,2,6.45,low,2026-07-05 18:51:58
fashion_underwear_beach,121,131,11457.74,72.84,3.98,16,12.21,low,2026-07-05 18:51:58
fixed_telephony,217,265,64281.6,224.99,3.68,11,4.15,low,2026-07-05 18:51:58
flowers,29,33,1598.91,33.64,4.42,1,3.03,low,2026-07-05 18:51:58
food,450,510,36664.44,57.63,4.22,49,9.61,low,2026-07-05 18:51:58
food_drink,227,280,19826.8,54.54,4.32,17,6.07,low,2026-07-05 18:51:58
furniture_bedroom,95,110,24973.5,184.35,4.12,8,7.27,low,2026-07-05 18:51:58
furniture_decor,6449,8415,910683.05,87.5,3.9,690,8.2,low,2026-07-05 18:51:58
furniture_living_room,422,507,87523.96,136.94,3.9,40,7.89,low,2026-07-05 18:51:58
furniture_mattress_and_upholstery,38,38,5998.54,114.95,3.82,5,13.16,low,2026-07-05 18:51:58
garden_tools,3518,4361,585646.54,111.54,4.04,342,7.84,low,2026-07-05 18:51:58
health_beauty,8836,9727,1446622.08,129.86,4.14,863,8.87,low,2026-07-05 18:51:58
home_appliances,764,809,98758.41,102.84,4.17,52,6.43,low,2026-07-05 18:51:58
home_appliances_2,234,240,124220.38,473.27,4.14,16,6.67,low,2026-07-05 18:51:58
home_comfort_2,24,30,1170.58,25.34,3.63,5,16.67,medium,2026-07-05 18:51:58
home_confort,397,437,67380.21,134.62,3.83,44,10.07,low,2026-07-05 18:51:58
home_construction,490,605,97052.07,137.53,3.94,49,8.1,low,2026-07-05 18:51:58
housewares,5884,6989,781170.03,90.79,4.06,441,6.31,low,2026-07-05 18:51:58
industry_commerce_and_business,235,269,47651.31,147.75,4.1,20,7.43,low,2026-07-05 18:51:58
kitchen_dining_laundry_garden_furniture,248,282,58542.86,164.74,3.96,12,4.26,low,2026-07-05 18:51:58
la_cuisine,13,14,2388.54,146.79,4.0,0,0.0,low,2026-07-05 18:51:58
luggage_accessories,1034,1092,170875.21,128.6,4.32,58,5.31,low,2026-07-05 18:51:58
market_place,280,311,33834.53,91.25,4.02,13,4.18,low,2026-07-05 18:51:58
music,38,38,6724.86,158.8,4.21,3,7.89,low,2026-07-05 18:51:58
musical_instruments,628,681,210173.23,281.24,4.15,56,8.22,low,2026-07-05 18:51:58
office_furniture,1273,1701,344082.76,161.8,3.49,150,8.82,medium,2026-07-05 18:51:58
party_supplies,39,43,5313.15,104.31,3.77,2,4.65,low,2026-07-05 18:51:58
pc_gamer,8,9,1679.52,171.77,3.33,0,0.0,medium,2026-07-05 18:51:58
perfumery,3162,3435,454664.54,116.51,4.16,246,7.16,low,2026-07-05 18:51:58
pet_shop,1710,1949,254190.79,110.1,4.19,118,6.05,low,2026-07-05 18:51:58
portateis_cozinha_e_preparadores_de_alimentos,14,15,4278.29,264.57,3.27,1,6.67,medium,2026-07-05 18:51:58
security_and_services,2,2,324.51,141.65,2.5,0,0.0,high,2026-07-05 18:51:58
signaling_and_security,140,199,28017.05,108.09,4.09,11,5.53,low,2026-07-05 18:51:58
