metric_date,total_orders,total_order_items,total_revenue,product_revenue,freight_revenue,avg_order_value,delivered_orders,late_delivery_orders,late_delivery_rate,cancelled_orders,cancelled_order_rate,avg_delivery_days,total_reviews,avg_review_score,low_review_count,low_review_rate,created_at
2016-09-04,1,2,136.23,72.89,63.34,136.23,0,0,0.0,0,0.0,,0,,0,0.0,2026-07-05 18:52:00
2016-09-05,1,1,75.06,59.5,15.56,75.06,0,0,0.0,1,100.0,,0,,0,0.0,2026-07-05 18:52:00
2016-09-15,1,3,143.46,134.97,8.49,143.46,1,1,100.0,0,0.0,54.0,0,,0,0.0,2026-07-05 18:52:00
2016-10-02,1,1,109.34,100.0,9.34,109.34,0,0,0.0,1,100.0,,1,1.0,1,100.0,2026-07-05 18:52:00
2016-10-03,8,8,595.14,463.48,131.66,74.39,7,0,0.0,1,12.5,25.88,0,,0,0.0,2026-07-05 18:52:00
2016-10-04,60,69,11295.48,9940.96,1354.52,188.26,54,2,3.17,5,7.94,25.22,0,,0,0.0,2026-07-05 18:52:00
2016-10-05,42,56,9645.94,8343.25,1302.69,229.67,35,0,0.0,2,4.26,19.8,0,,0,0.0,2026-07-05 18:52:00
2016-10-06,49,58,9131.23,7960.51,1170.72,186.35,41,0,0.0,3,5.88,20.49,1,1.0,1,100.0,2026-07-05 18:52:00
2016-10-07,45,52,8135.97,7228.05,907.92,180.8,38,0,0.0,2,4.35,15.46,0,,0,0.0,2026-07-05 18:52:00
2016-10-08,40,45,9383.37,8441.85,941.52,234.58,36,0,0.0,3,7.14,13.78,0,,0,0.0,2026-07-05 18:52:00
2016-10-09,26,34,4018.98,3336.99,681.99,154.58,20,0,0.0,4,15.38,13.86,1,1.0,1,100.0,2026-07-05 18:52:00
2016-10-10,37,40,4493.39,3692.57,800.82,121.44,34,1,2.56,2,5.13,18.82,0,,0,0.0,2026-07-05 18:52:00
2016-12-23,1,1,19.62,10.9,8.72,19.62,1,0,0.0,0,0.0,4.0,0,,0,0.0,2026-07-05 18:52:00
2017-01-05,32,32,707.27,396.9,310.37,22.1,32,0,0.0,0,0.0,10.59,0,,0,0.0,2026-07-05 18:52:00
2017-01-06,4,4,988.28,916.38,71.9,247.07,4,0,0.0,0,0.0,6.75,0,,0,0.0,2026-07-05 18:52:00
2017-01-07,4,5,1447.99,1351.9,96.09,362.0,4,1,25.0,0,0.0,23.5,0,,0,0.0,2026-07-05 18:52:00
2017-01-08,6,6,809.63,709.58,100.05,134.94,4,0,0.0,0,0.0,7.5,0,,0,0.0,2026-07-05 18:52:00
2017-01-09,5,6,774.51,673.79,100.72,154.9,5,2,40.0,0,0.0,23.0,0,,0,0.0,2026-07-05 18:52:00
