object_name,status,row_count,column_count,output_file,exported_at,error_message
dim_date,SUCCESS,732,8,data\powerbi_exports\dim_date.csv,2026-07-05 19:52:14,
dim_customer,SUCCESS,99441,6,data\powerbi_exports\dim_customer.csv,2026-07-05 19:52:14,
dim_product,SUCCESS,32951,11,data\powerbi_exports\dim_product.csv,2026-07-05 19:52:15,
dim_seller,SUCCESS,3095,5,data\powerbi_exports\dim_seller.csv,2026-07-05 19:52:15,
fact_sales,SUCCESS,112650,15,data\powerbi_exports\fact_sales.csv,2026-07-05 19:52:16,
fact_delivery,SUCCESS,99441,13,data\powerbi_exports\fact_delivery.csv,2026-07-05 19:52:17,
fact_payments,SUCCESS,103886,6,data\powerbi_exports\fact_payments.csv,2026-07-05 19:52:17,
fact_reviews,SUCCESS,99224,7,data\powerbi_exports\fact_reviews.csv,2026-07-05 19:52:18,
vw_executive_summary,SUCCESS,1,10,data\powerbi_exports\vw_executive_summary.csv,2026-07-05 19:52:18,
vw_monthly_sales,SUCCESS,24,9,data\powerbi_exports\vw_monthly_sales.csv,2026-07-05 19:52:18,
vw_product_performance,SUCCESS,74,7,data\powerbi_exports\vw_product_performance.csv,2026-07-05 19:52:18,
vw_seller_performance,SUCCESS,3095,10,data\powerbi_exports\vw_seller_performance.csv,2026-07-05 19:52:18,
vw_customer_state_performance,SUCCESS,27,7,data\powerbi_exports\vw_customer_state_performance.csv,2026-07-05 19:52:18,
vw_delivery_performance,SUCCESS,8,8,data\powerbi_exports\vw_delivery_performance.csv,2026-07-05 19:52:18,
vw_payment_analysis,SUCCESS,5,6,data\powerbi_exports\vw_payment_analysis.csv,2026-07-05 19:52:19,
vw_review_analysis,SUCCESS,5,5,data\powerbi_exports\vw_review_analysis.csv,2026-07-05 19:52:19,
vw_late_delivery_by_state,SUCCESS,27,5,data\powerbi_exports\vw_late_delivery_by_state.csv,2026-07-05 19:52:19,
vw_category_review_performance,SUCCESS,74,5,data\powerbi_exports\vw_category_review_performance.csv,2026-07-05 19:52:20,
ops_daily_metrics,SUCCESS,616,18,data\powerbi_exports\ops_daily_metrics.csv,2026-07-05 19:52:20,
ops_seller_metrics,SUCCESS,3095,12,data\powerbi_exports\ops_seller_metrics.csv,2026-07-05 19:52:20,
ops_category_metrics,SUCCESS,74,10,data\powerbi_exports\ops_category_metrics.csv,2026-07-05 19:52:20,
vw_operational_alert_summary,SUCCESS,1,7,data\powerbi_exports\vw_operational_alert_summary.csv,2026-07-05 19:52:20,
vw_operational_alerts_by_type,SUCCESS,8,7,data\powerbi_exports\vw_operational_alerts_by_type.csv,2026-07-05 19:52:20,
vw_operational_alerts_by_severity,SUCCESS,2,3,data\powerbi_exports\vw_operational_alerts_by_severity.csv,2026-07-05 19:52:20,
vw_recent_operational_alerts,SUCCESS,696,15,data\powerbi_exports\vw_recent_operational_alerts.csv,2026-07-05 19:52:20,
vw_high_risk_sellers,SUCCESS,917,11,data\powerbi_exports\vw_high_risk_sellers.csv,2026-07-05 19:52:20,
vw_high_risk_categories,SUCCESS,6,9,data\powerbi_exports\vw_high_risk_categories.csv,2026-07-05 19:52:20,
vw_operational_risk_summary,SUCCESS,15,4,data\powerbi_exports\vw_operational_risk_summary.csv,2026-07-05 19:52:20,
vw_operational_event_summary,SUCCESS,1,9,data\powerbi_exports\vw_operational_event_summary.csv,2026-07-05 19:52:20,
