export_name,exists,row_count,column_count,file_size_kb
dim_date,True,732,8,31.36
dim_customer,True,99441,6,9030.53
dim_product,True,32951,11,3394.36
dim_seller,True,3095,5,176.82
fact_sales,True,112650,15,11579.84
fact_delivery,True,99441,13,11331.11
fact_payments,True,103886,6,6204.45
fact_reviews,True,99224,7,9387.91
vw_executive_summary,True,1,10,0.26
vw_monthly_sales,True,24,9,1.53
vw_product_performance,True,74,7,4.37
vw_seller_performance,True,3095,10,249.78
vw_customer_state_performance,True,27,7,1.38
vw_delivery_performance,True,8,8,0.35
vw_payment_analysis,True,5,6,0.29
vw_review_analysis,True,5,5,0.2
vw_late_delivery_by_state,True,27,5,0.69
vw_category_review_performance,True,74,5,2.98
ops_daily_metrics,True,616,18,67.16
ops_seller_metrics,True,3095,12,311.13
ops_category_metrics,True,74,10,5.85
vw_operational_alert_summary,True,1,7,0.12
vw_operational_alerts_by_type,True,8,7,0.55
vw_operational_alerts_by_severity,True,2,3,0.07
vw_recent_operational_alerts,True,696,15,209.99
vw_high_risk_sellers,True,917,11,75.58
vw_high_risk_categories,True,6,9,0.52
vw_operational_risk_summary,True,15,4,0.57
vw_operational_event_summary,True,1,9,0.22
