product_category_name_english,total_orders,total_revenue,avg_review_score,total_reviews
health_beauty,8836,1446622.08,4.14,9645
watches_gifts,5624,1306761.4,4.02,5950
bed_bath_table,9417,1258189.51,3.9,11137
sports_leisure,7720,1163329.98,4.11,8640
computers_accessories,6689,1068070.48,3.93,7849
furniture_decor,6449,910683.05,3.9,8331
housewares,5884,781170.03,4.06,6943
cool_stuff,3632,721492.9,4.15,3772
auto,3897,687374.19,4.07,4213
garden_tools,3518,585646.54,4.04,4329
toys,3886,562310.57,4.16,4091
baby,2885,480647.26,4.01,3048
perfumery,3162,454664.54,4.16,3421
telephony,4199,395190.98,3.95,4517
office_furniture,1273,344082.76,3.49,1687
stationery,2311,278224.15,4.19,2507
pet_shop,1710,254190.79,4.19,1939
computers,181,232799.43,4.18,200
musical_instruments,628,210173.23,4.15,675
unknown,1451,208630.7,3.84,1598
small_appliances,630,207736.19,4.15,677
electronics,2550,206989.23,4.04,2749
fashion_bags_accessories,1864,185436.22,4.14,2039
consoles_games,1062,177844.54,4.02,1127
luggage_accessories,1034,170875.21,4.32,1088
construction_tools_construction,748,166199.44,4.05,926
home_appliances_2,234,124220.38,4.14,238
home_appliances,764,98758.41,4.17,806
home_construction,490,97052.07,3.94,600
furniture_living_room,422,87523.96,3.9,502
agro_industry_and_commerce,182,78374.07,4.0,212
home_confort,397,67380.21,3.83,435
fixed_telephony,217,64281.6,3.68,262
air_conditioning,253,61774.19,3.97,292
kitchen_dining_laundry_garden_furniture,248,58542.86,3.96,280
audio,350,56462.94,3.83,361
books_general_interest,512,56052.4,4.45,549
small_appliances_home_oven_and_coffee,75,50193.57,4.3,76
construction_tools_lights,244,48918.38,4.05,296
industry_commerce_and_business,235,47651.31,4.1,266
construction_tools_safety,167,44463.62,3.84,193
food,450,36664.44,4.22,495
market_place,280,33834.53,4.02,309
costruction_tools_garden,194,31105.47,4.05,240
fashion_shoes,240,28733.87,4.23,261
drinks,297,28294.07,4.05,377
art,202,28247.81,3.94,207
signaling_and_security,140,28017.05,4.09,197
furniture_bedroom,95,24973.5,4.12,110
books_technical,260,23456.53,4.37,266
food_drink,227,19826.8,4.32,279
costruction_tools_tools,97,17934.17,4.44,99
fashion_male_clothing,112,12950.23,3.64,131
christmas_supplies,128,12030.12,4.02,146
fashion_underwear_beach,121,11457.74,3.98,130
tablets_printing_image,79,8754.61,4.12,81
cine_photo,65,8212.95,4.21,73
dvds_blu_ray,59,7288.13,4.08,63
music,38,6724.86,4.21,38
furniture_mattress_and_upholstery,38,5998.54,3.82,38
books_imported,53,5409.7,4.4,60
party_supplies,39,5313.15,3.77,43
portateis_cozinha_e_preparadores_de_alimentos,14,4278.29,3.27,15
fashio_female_clothing,39,3535.84,3.78,50
fashion_sport,27,2736.73,4.26,31
la_cuisine,13,2388.54,4.0,13
arts_and_craftmanship,23,2184.14,4.13,24
diapers_and_hygiene,27,2141.27,3.26,39
pc_gamer,8,1679.52,3.33,9
flowers,29,1598.91,4.42,31
home_comfort_2,24,1170.58,3.63,27
cds_dvds_musicals,12,954.99,4.64,14
fashion_childrens_clothes,8,665.36,4.5,8
security_and_services,2,324.51,2.5,2
