customer_state,total_orders,total_order_items,product_revenue,freight_revenue,total_revenue,avg_item_total_value
SP,41375,47449,5202955.05,718723.07,5921678.12,124.8
RJ,12762,14579,1824092.67,305589.31,2129681.98,146.08
MG,11544,13129,1585308.03,270853.46,1856161.49,141.38
RS,5432,6235,750304.02,135522.74,885826.76,142.07
PR,4998,5740,683083.76,117851.68,800935.44,139.54
BA,3358,3799,511349.99,100156.68,611506.67,160.97
SC,3612,4176,520553.34,89660.26,610213.6,146.12
DF,2125,2406,302603.94,50625.5,353229.44,146.81
GO,2007,2333,294591.95,53114.98,347706.93,149.04
ES,2025,2256,275037.31,49764.6,324801.91,143.97
PE,1648,1806,262788.03,59449.66,322237.69,178.43
CE,1327,1478,227254.71,48351.59,275606.3,186.47
PA,970,1080,178947.81,38699.3,217647.11,201.53
MT,903,1055,156453.53,29715.43,186168.96,176.46
MA,740,824,119648.22,31523.77,151171.99,183.46
PB,532,602,115268.08,25719.73,140987.81,234.2
MS,709,819,116812.64,19144.03,135956.67,166.0
PI,493,542,86914.08,21218.2,108132.28,199.51
RN,482,529,83034.98,18860.1,101895.08,192.62
AL,411,444,80314.81,15914.59,96229.4,216.73
SE,345,385,58920.85,14111.47,73032.32,189.69
TO,279,315,49621.74,11732.68,61354.42,194.78
RO,247,278,46140.64,11417.38,57558.02,207.04
AM,147,165,22356.84,5478.89,27835.73,168.7
AC,81,92,15982.95,3686.75,19669.7,213.8
AP,68,82,13474.3,2788.5,16262.8,198.33
RR,46,52,7829.43,2235.19,10064.62,193.55
