seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_item_value,late_delivery_items,late_delivery_rate,avg_review_score,seller_risk_level
80ceebb4ee9b31afb6c6a916a574a1e2,londrina,PR,1,1,6922.21,6922.21,1,100.0,,high
c7b7db6c8f3c64a7cc1afa634db21d50,sao paulo,SP,1,1,1511.86,1511.86,1,100.0,1.0,high
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,1,2,1474.76,737.38,2,100.0,5.0,high
8e670472e453ba34a379331513d6aab1,juiz de fora,MG,1,1,1083.96,1083.96,1,100.0,1.0,high
6524b847b982cd56bb5d4b02b776ee42,campinas,SP,1,2,834.94,417.47,2,100.0,4.0,high
1b4b28463457a256e9a784ebe2a8f630,piracicaba,SP,1,1,715.34,715.34,1,100.0,1.0,high
685b870da5b52a710782c9c0fefbeb5b,sao bernardo do campo,SP,2,2,670.98,335.49,2,100.0,2.0,high
f524ad65d7e0f1daab730ef2d2e86196,soledade,RS,1,2,609.5,304.75,2,100.0,1.0,high
c13ef0cfbe42f190780f621ce81f2234,sao paulo sp,SP,1,1,451.28,451.28,1,100.0,3.0,high
2a73cba571d90c694b7caca072ccf6ce,sao caetano do sul,SP,1,2,381.48,190.74,2,100.0,5.0,high
c611f4ce9ce875bcc063fa97fd4d7d12,atibaia,SP,1,1,332.25,332.25,1,100.0,4.0,high
13d95f0f6f73943d4ceffad0fc2cd32c,goiania,GO,1,1,309.32,309.32,1,100.0,3.0,high
984c273121e743dd14767befe6cb17f5,americana,SP,1,1,280.91,280.91,1,100.0,1.0,high
2a50b7ee5aebecc6fd0ff9784a4747d6,brasilia,DF,1,2,264.24,132.12,2,100.0,1.0,high
efb628aa07c8ca93d7db0d85b91a4f5a,nova iguacu,RJ,1,1,262.1,262.1,1,100.0,4.0,high
d1a5cc844736958c11b8efab9a2b4c87,curitiba,PR,1,1,254.01,254.01,1,100.0,1.0,high
edf3fabebcc20f7463cc9c53da932ea8,sao paulo,SP,1,1,244.02,244.02,1,100.0,4.0,high
586a871d4f1221763fddb6ceefdeb95e,porto alegre,RS,1,2,239.48,119.74,2,100.0,1.0,high
9da15f4a4ea758d9eeb49000dbe57e22,osasco,SP,1,1,234.61,234.61,1,100.0,2.0,high
d8dd176509baa37f359644d082bf7f7b,sao caetano do sul,SP,2,2,229.9,114.95,2,100.0,1.5,high
19484c79cef6c062cb177aa4ef2fcc3c,valinhos,SP,1,1,212.06,212.06,1,100.0,1.0,high
51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,SP,1,1,199.92,199.92,1,100.0,1.0,high
9c57bc60cfad5ee62d35d3f1ce4593a1,curitiba,PR,1,1,195.43,195.43,1,100.0,1.0,high
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1,1,188.42,188.42,1,100.0,5.0,high
be1e9e378700cecaa4ebf71433d7915c,ribeirao preto,SP,2,2,157.51,78.76,2,100.0,3.0,high
781a66c0d89e30814d49fe8b5e14cd07,campinas,SP,1,1,136.3,136.3,1,100.0,1.0,high
d1aa1ec0839dcab73a6161130eb1f94a,curitiba,PR,1,1,136.04,136.04,1,100.0,4.0,high
9bf11dfc0bec77e5a23028043c3c5a8f,contagem,MG,1,1,132.06,132.06,1,100.0,1.0,high
271b8923c6a549e02d3c9fd1f8c0422b,praia grande,SP,1,1,118.59,118.59,1,100.0,4.0,high
154bdf805377afea75a3bd158e9eab10,ibitinga,SP,1,1,109.72,109.72,1,100.0,1.0,high
6d04126aba80df143fd038e711b8fd96,rio de janeiro,RJ,1,1,108.86,108.86,1,100.0,1.0,high
da2782c804606d2a5d8e1760dbb3e7ec,sao paulo,SP,1,1,103.37,103.37,1,100.0,1.0,high
ca5832c6960267b71041f74bb39e8b12,xanxere,SC,1,1,97.71,97.71,1,100.0,1.0,high
3da38366e7bd9baf6369071f782ecdf0,fortaleza,CE,1,1,86.43,86.43,1,100.0,1.0,high
9ef932e837d8b7f392c0bfee9d359dc2,ibitinga,SP,1,1,79.56,79.56,1,100.0,3.0,high
7c462184585ae80bd6e5774c62ce50f2,campinas,SP,1,2,77.64,38.82,2,100.0,3.0,high
9ac75591b69c3402684b6ce0310f22ee,sao paulo,SP,1,1,69.67,69.67,1,100.0,5.0,high
ebe3dabc4955c9b0d695e7bda38bf5c3,ribeirao preto,SP,1,1,66.89,66.89,1,100.0,3.0,high
63704069d9bd3a75c1cf59babe56004a,jundiai,SP,1,1,66.69,66.69,1,100.0,1.0,high
8629a7efec1aab257e58cda559f03ba7,goiania,GO,1,1,64.11,64.11,1,100.0,1.0,high
535bf14f36346c7f59d87cece104d70c,rio de janeiro,RJ,1,1,57.77,57.77,1,100.0,4.0,high
df683dfda87bf71ac3fc63063fba369d,farroupilha,RS,1,1,55.95,55.95,1,100.0,1.0,high
1f2eebc0e970fd3c463e4f5d9652687a,sao paulo,SP,1,1,53.47,53.47,1,100.0,5.0,high
bcd2d7510d58e293f20fad6438c1b314,curitiba,PR,1,1,39.46,39.46,1,100.0,,high
bc8c8d665ec4664d286be0d521722b19,sao paulo,SP,1,1,30.82,30.82,1,100.0,2.0,high
20f0aeea30bc3b8c4420be8ced4226c0,santa barbara d'oeste,SP,1,1,29.42,29.42,1,100.0,,high
344223b2a90784f64136a8a5da012e7f,gaspar,SC,1,1,27.69,27.69,1,100.0,2.0,high
8d92f3ea807b89465643c219455e7369,sao paulo,SP,3,8,252.77,31.6,7,87.5,1.0,high
ec8463980a4e0ea9f8517aea1ed0c419,florianopolis,SC,2,8,357.96,44.75,6,75.0,5.0,high
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,4,7,4676.05,668.01,5,71.43,2.43,high
327b89b872c14d1c0be7235ef4871685,manaus,AM,3,3,1258.8,419.6,2,66.67,2.33,high
633ecdf879b94b5337cca303328e4a25,sao paulo,SP,6,6,1125.49,187.58,4,66.67,1.8,high
a435b009cd956ea60748b5cfbddf2e24,franca,SP,3,3,406.39,135.46,2,66.67,4.33,high
bcc9dd23e2a8bd8267cf92b19304a1b9,ibitinga,SP,3,3,246.22,82.07,2,66.67,2.33,high
e5bd51692380fd8cabb19b756b95e714,santo andre,SP,3,3,153.04,51.01,2,66.67,2.33,high
324583d68897f5ddbaf38f6248322176,sao jose do rio preto,SP,2,3,127.99,42.66,2,66.67,1.0,high
427165bf50f8ca07efc7bdc2bfcf1688,americana,SP,5,5,1692.9,338.58,3,60.0,3.2,high
8d899e15a5925f097cca50faa49b15e3,sao roque,SP,4,10,795.98,79.6,6,60.0,2.5,high
8fec2e460530482132c436cfb5439925,laranjal paulista,SP,3,5,548.61,109.72,3,60.0,3.8,high
fcf16b7a8697e559f0123190bb30177d,sao paulo,SP,3,7,1552.57,221.8,4,57.14,3.14,high
b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,18,18,25185.49,1399.19,9,50.0,1.72,high
961dff0a659b4561334372337dd897d9,rio de janeiro,RJ,4,4,10082.56,2520.64,2,50.0,3.75,high
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,6,6,7426.65,1237.78,3,50.0,3.17,high
c004e5ea15737026cecaee0447e00b75,sao paulo,SP,2,2,4874.32,2437.16,1,50.0,1.0,high
8c3b533c63cca56240f94f1e3a6b18ef,belo horizonte,MG,5,8,4301.77,537.72,4,50.0,1.33,high
dd4d95ba2d15c071e6c695e2ef6ce169,cachoeiro de itapemirim,ES,4,4,1962.41,490.6,2,50.0,4.25,high
5b97c06a046398e7005b2b7c0d707a92,joao pinheiro,MG,4,4,1769.59,442.4,2,50.0,3.25,high
17eea220a40cc0d2c0c5346379682398,sao paulo,SP,4,4,1512.99,378.25,2,50.0,3.75,high
700f03c207639c22d933381ff60b35c2,barretos,SP,4,4,1326.31,331.58,2,50.0,4.0,high
a20d8058c866dbaeca014d2cd20ac62e,sao jose dos campos,SP,2,2,1238.9,619.45,1,50.0,5.0,high
528bcf6680c36dddf07620bd35b33a6f,sao paulo,SP,2,2,1013.84,506.92,1,50.0,4.5,high
c8025364abeecb115431bf95c11a747f,porto alegre,RS,2,2,971.28,485.64,1,50.0,4.5,high
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,4,8,820.57,102.57,4,50.0,2.75,high
8e29d051f810eb22959ede205b462b9f,mirassol,SP,2,2,813.28,406.64,1,50.0,4.0,high
1352e06ae67b410cdae0b2a22361167b,rio de janeiro,RJ,4,4,765.22,191.31,2,50.0,2.33,high
791cfcfe22fe4a771ece27f90017da92,ribeirao preto,SP,2,2,653.75,326.88,1,50.0,1.5,high
70125af26c2d6d4ef401a1d02ae7701f,goiania,GO,5,8,629.62,78.7,4,50.0,4.63,high
6219ba2359cfb97f2e38fd4c321eb309,sao paulo,SP,6,6,590.55,98.43,3,50.0,3.4,high
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,2,2,557.85,278.93,1,50.0,3.5,high
5275ca25d0358ca73864e0ae41be1320,guarulhos,SP,4,4,478.82,119.71,2,50.0,4.75,high
a11a0e0ca67423425691db355cff69b0,indaiatuba,SP,2,2,476.98,238.49,1,50.0,5.0,high
4e42581f08e8cfc7c090f930bac4552a,portoferreira,SP,3,4,453.8,113.45,2,50.0,1.0,high
12a8eb0f8d1cd3270695bf2a99f55966,sao paulo,SP,2,2,436.67,218.34,1,50.0,3.5,high
4e85b538b0dad58852641540686d0e14,sao jose dos campos,SP,4,4,436.34,109.09,2,50.0,3.75,high
559d56f3b8f0bc2e5a9a62fe2ce2a39f,joinville,SC,2,2,433.72,216.86,1,50.0,2.5,high
f7315bb81aea4ddca2d39e249a801c98,guarulhos,SP,2,2,430.08,215.04,1,50.0,4.5,high
12c2ed9cded6138cf0c75f525f565fc7,praia grande,SP,4,4,366.01,91.5,2,50.0,4.25,high
5ca5d579b5857ee8709479b1047cecc3,sao paulo,SP,2,2,363.88,181.94,1,50.0,1.0,high
f682e0f848abafc6f41e0d4e868c66ef,mairipora,SP,2,2,304.0,152.0,1,50.0,3.5,high
fb8904a8ea99f8831b64ce27db2c1765,sao caetano do sul,SP,2,2,302.36,151.18,1,50.0,4.5,high
85ecf03781da592876b7844acc1b729f,sao paulo,SP,2,2,294.9,147.45,1,50.0,4.5,high
8ccf3cf69651cc1d8a02c8bfaf3b8568,rio claro,SP,2,2,288.63,144.32,1,50.0,3.5,high
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,5,8,275.39,34.42,4,50.0,4.13,high
7d484ca289afaac6bf5fc6a1e96d2226,campo grande,MS,2,2,248.42,124.21,1,50.0,4.0,high
5659d77e8d90378e39b960ad5956f64e,taubate,SP,2,2,213.13,106.57,1,50.0,2.5,high
9dd459b29a14bf89d47183cf2cd0e4c7,sao paulo,SP,2,2,198.82,99.41,1,50.0,5.0,high
a154d7316f158bb42e6fa18bbe3afd3a,sao paulo,SP,2,2,190.13,95.07,1,50.0,3.0,high
0daf5180aa44356f60f8effa533b55a2,goiania,GO,2,2,183.63,91.82,1,50.0,5.0,high
8e4f041ff58e7845456d3482524014b3,porto alegre,RS,2,2,182.39,91.2,1,50.0,3.0,high
553a440137d6e0cf776aee0bb83ac9f5,limeira,SP,2,2,175.14,87.57,1,50.0,1.0,high
