customer_state,total_orders,late_orders,late_order_percentage,avg_delivery_days
AL,413,95,23.0,24.04
MA,747,141,18.88,21.12
PI,495,76,15.35,18.99
CE,1336,196,14.67,20.82
SE,350,51,14.57,21.03
BA,3380,457,13.52,18.87
RJ,12852,1664,12.95,14.85
TO,280,35,12.5,17.23
PA,975,117,12.0,23.32
ES,2033,244,12.0,15.33
MS,715,81,11.33,15.19
RR,46,5,10.87,28.98
PB,536,57,10.63,19.95
RN,485,51,10.52,18.82
PE,1652,172,10.41,17.97
SC,3637,346,9.51,14.48
GO,2020,160,7.92,15.15
RS,5466,382,6.99,14.82
DF,2140,147,6.87,12.51
MT,907,60,6.62,17.59
SP,41746,2387,5.72,8.3
MG,11635,638,5.48,11.54
PR,5045,246,4.88,11.53
AP,68,3,4.41,26.73
AM,148,6,4.05,25.99
AC,81,3,3.7,20.64
RO,253,7,2.77,18.91
