year,month,year_month,total_orders,total_order_items,product_revenue,freight_revenue,total_revenue,avg_item_total_value
2016,9,2016-09,3,6,267.36,87.39,354.75,59.13
2016,10,2016-10,308,363,49507.66,7301.18,56808.84,156.5
2016,12,2016-12,1,1,10.9,8.72,19.62,19.62
2017,1,2017-01,789,955,120312.87,16875.62,137188.49,143.65
2017,2,2017-02,1733,1951,247303.02,38977.6,286280.62,146.74
2017,3,2017-03,2641,3000,374344.3,57704.29,432048.59,144.02
2017,4,2017-04,2391,2684,359927.23,52495.01,412422.24,153.66
2017,5,2017-05,3660,4136,506071.14,80119.81,586190.95,141.73
2017,6,2017-06,3217,3583,433038.6,69924.44,502963.04,140.37
2017,7,2017-07,3969,4519,498031.48,86940.14,584971.62,129.45
2017,8,2017-08,4293,4910,573971.68,94232.92,668204.6,136.09
2017,9,2017-09,4243,4831,624401.69,95997.22,720398.91,149.12
2017,10,2017-10,4568,5322,664219.43,105092.94,769312.37,144.55
2017,11,2017-11,7451,8665,1010271.37,168872.4,1179143.77,136.08
2017,12,2017-12,5624,6308,743914.17,119633.06,863547.23,136.9
2018,1,2018-01,7220,8208,950030.36,157271.53,1107301.89,134.91
2018,2,2018-02,6694,7672,844178.71,142730.25,986908.96,128.64
2018,3,2018-03,7188,8217,983213.44,171913.38,1155126.82,140.58
2018,4,2018-04,6934,7975,996647.75,163050.29,1159698.04,145.42
2018,5,2018-05,6853,7925,996517.68,153264.14,1149781.82,145.08
2018,6,2018-06,6160,7078,865124.31,157552.8,1022677.11,144.49
2018,7,2018-07,6273,7092,895507.22,163220.81,1058728.03,149.28
2018,8,2018-08,6452,7248,854686.33,148622.14,1003308.47,138.43
2018,9,2018-09,1,1,145.0,21.46,166.46,166.46
