seller_id,seller_city,seller_state,total_orders,total_items_sold,product_revenue,freight_revenue,total_revenue,avg_item_total_value,late_delivery_item_rows
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,1156,229472.63,20168.07,249640.7,215.95,133
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,1364,187923.89,51612.55,239536.44,175.61,130
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,410,222776.05,13080.63,235856.68,575.26,16
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,1987,200472.92,35067.04,235539.96,118.54,214
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,586,194042.03,10042.7,204084.73,348.27,59
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,1551,160236.57,24955.75,185192.32,119.4,113
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,340,176431.87,6322.18,182754.05,537.51,18
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,1428,138968.55,33892.14,172860.69,121.05,131
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,1171,141745.53,20902.85,162648.38,138.9,68
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,1499,135171.7,25430.98,160602.68,107.14,119
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,2033,123304.83,27960.94,151265.77,74.41,124
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,1931,106939.21,35165.77,142104.98,73.59,182
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,521,542,128111.19,11798.5,139909.69,258.14,33
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,770,101901.16,31844.09,133745.25,173.7,42
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,1775,104288.42,25668.99,129957.41,73.22,103
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,798,114774.5,14135.21,128909.71,161.54,74
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,325,346,112155.53,13661.39,125816.92,363.63,20
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,578,113628.97,8632.05,122261.02,211.52,68
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,1147,94914.2,22433.51,117347.71,102.31,67
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,175,79284.55,3905.1,83189.65,475.37,13
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,187,192,74004.62,5256.98,79261.6,412.82,14
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,712,830,64009.89,14371.4,78381.29,94.44,44
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,387,435,64925.3,9659.0,74584.3,171.46,42
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,219,230,68395.0,4341.01,72736.01,316.24,38
fe2032dab1a61af8794248c8196565c9,campinas,SP,294,306,65959.61,4721.34,70680.95,230.98,26
de722cd6dad950a92b7d4f82673f8833,recife,PE,339,379,55426.1,9686.65,65112.75,171.8,15
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,334,343,55578.57,7946.72,63525.29,185.2,28
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,94,94,60130.6,3054.39,63184.99,672.18,11
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,667,724,50525.6,12554.2,63079.8,87.13,42
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,388,427,55093.28,7644.26,62737.54,146.93,38
522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,174,180,57168.49,4661.32,61829.81,343.5,18
25c5c91f63607446a97b143d2d535d31,itauna,MG,158,269,54679.22,7000.11,61679.33,229.29,16
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,255,268,56363.24,5239.96,61603.2,229.86,21
37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,272,281,55350.55,6083.33,61433.88,218.63,7
ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,203,211,52917.18,6331.84,59249.02,280.8,12
b2ba3715d723d245138f291a6fe42594,sao paulo,SP,337,363,51676.88,6496.14,58173.02,160.26,30
17f51e7198701186712e53a39c564617,sao paulo,SP,56,61,48019.0,9793.43,57812.43,947.74,5
f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,117,122,53201.78,4239.16,57440.94,470.83,12
77530e9772f57a62c906e1c21538ab82,curitiba,PR,320,389,46610.4,8453.59,55063.99,141.55,44
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,385,431,47017.69,7853.81,54871.5,127.31,76
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1146,1203,37177.52,17544.77,54722.29,45.49,123
e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,57,58,51057.54,2856.22,53913.76,929.55,0
4e922959ae960d389249c378d1c939f5,jacarei,SP,420,454,46030.37,7274.38,53304.75,117.41,48
e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,657,750,43162.95,10139.71,53302.66,71.07,55
966cb4760537b1404caedd472cc610a5,diadema,SP,75,75,51286.05,1649.82,52935.87,705.81,2
2bf6a2c1e71bbd29a4ad64e6d3c3629f,nova friburgo,RJ,30,31,50628.9,1000.59,51629.49,1665.47,3
4d6d651bd7684af3fffabd5f08d12e5a,jau,SP,369,395,43587.4,7898.91,51486.31,130.35,18
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,354,373,45643.74,5573.48,51217.22,137.31,33
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,535,536,40889.74,9290.77,50180.51,93.62,33
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,526,613,39951.95,10190.88,50142.83,81.8,58
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,125,149,40703.14,8828.43,49531.57,332.43,12
c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,278,307,43048.18,6079.63,49127.81,160.03,7
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,392,405,36408.95,12141.29,48550.24,119.88,95
850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,187,192,45355.36,3114.41,48469.77,252.45,12
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,152,155,44985.17,2725.07,47710.24,307.81,20
eeb6de78f79159600292e314a77cbd18,lages,SC,83,84,43739.84,3055.44,46795.28,557.09,3
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,79,87,39815.0,6889.13,46704.13,536.83,18
2eb70248d66e0e3ef83659f71b244378,campinas,SP,202,212,42628.61,3231.49,45860.1,216.32,28
ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,38,38,44212.5,1311.0,45523.5,1197.99,2
634964b17796e64304cadf1ad3050fb7,rio de janeiro,RJ,268,326,39465.1,5955.43,45420.53,139.33,31
7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,319,331,37373.56,6915.6,44289.16,133.8,26
834f3294fba9f932f56edc879193f925,araraquara,SP,66,66,39907.5,4299.92,44207.42,669.81,4
b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,SP,33,36,42829.0,920.93,43749.93,1215.28,1
c3867b4666c7d76867627c2f7fb22e21,guara,SP,245,259,37153.4,5043.78,42197.18,162.92,27
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,423,558,33344.21,8741.95,42086.16,75.42,58
dbc22125167c298ef99da25668e1011f,borda da mata,MG,406,429,33776.78,8012.38,41789.16,97.41,10
7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,338,361,34725.43,6855.65,41581.08,115.18,17
7178f9f4dd81dcef02f62acdf8151e01,videira,SC,203,216,37070.4,4408.52,41478.92,192.03,10
c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,261,338,36537.37,3938.91,40476.28,119.75,27
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,473,522,30148.95,9887.24,40036.19,76.7,27
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,312,327,32208.16,7797.2,40005.36,122.34,43
e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,216,269,34343.06,4688.5,39031.56,145.1,33
87142160b41353c4e5fca2360caf6f92,porto alegre,RS,305,339,31095.98,7218.33,38314.31,113.02,19
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,246,31397.7,6853.91,38251.61,155.49,14
59417c56835dd8e2e72f91f809cd4092,limeira,SP,18,18,36459.0,1198.77,37657.77,2092.1,0
